type_short,type,address,city,price,sales_date,sales_type,sqm,sqm_price,rooms,build_year,price_change,actual_price
E,Ejerlejlighed,"Sofiegade 24, st 3",1418 København K,1500000,09-08-2015,Alm Salg,38,39474 kr/m²,1,1975,3,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 2 16",1418 København K,2295000,26-05-2015,Alm Salg,59,38898 kr/m²,2,1975,4,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 22, st 7",1418 København K,1450000,24-08-2014,Alm Salg,58,25000 kr/m²,2,1975,9,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 2, 1 tv",1418 København K,3310000,05-08-2014,Alm Salg,77,42987 kr/m²,3,1882,3,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 2 18",1418 København K,1245000,25-05-2013,Alm Salg,38,32763 kr/m²,1,1975,4,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 4 29",1418 København K,1250000,24-11-2012,Alm Salg,41,30488 kr/m²,1,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 4 31",1418 København K,1120000,07-10-2012,Auktion,38,29474 kr/m²,1,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 10, st tv",1418 København K,2575000,11-08-2011,Alm Salg,85,30294 kr/m²,2,1977,1,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 3 22",1418 København K,2200000,28-02-2011,Alm Salg,83,26506 kr/m²,3,1975,8,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 3 23",1418 København K,1585000,30-08-2010,Alm Salg,59,26864 kr/m²,2,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 2, 4",1418 København K,4050000,17-11-2009,Alm Salg,138,29348 kr/m²,5,1882,3,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 3 28",1418 København K,1500000,03-05-2009,Alm Salg,58,25862 kr/m²,2,1975,6,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 2 15",1418 København K,1895000,25-04-2009,Alm Salg,83,22831 kr/m²,3,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 3 25",1418 København K,1100000,29-09-2007,Fam Salg,38,28947 kr/m²,1,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 10, 2 tv",1418 København K,3875000,07-09-2007,Alm Salg,123,31504 kr/m²,4,1977,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 3 27",1418 København K,1105000,19-09-2005,Fam Salg,64,17266 kr/m²,2,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 20, st th",1418 København K,2225000,16-08-2005,Alm Salg,76,29276 kr/m²,2,1958,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 2 17",1418 København K,671500,28-12-2004,Fam Salg,38,17671 kr/m²,1,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, st 2",1418 København K,1200000,18-01-2004,Alm Salg,59,20339 kr/m²,2,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 2, st tv",1418 København K,1720000,28-10-2003,Alm Salg,73,23562 kr/m²,3,1882,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 10, 1 tv",1418 København K,1472000,28-04-2001,Alm Salg,85,17318 kr/m²,2,1977,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 10, 2 mf",1418 København K,2083720,15-08-2000,Alm Salg,117,17810 kr/m²,3,1977,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 8, st",1418 København K,1500000,26-05-2000,Alm Salg,114,13158 kr/m²,4,1750,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 20, 1 tv",1418 København K,919061,21-02-1999,Alm Salg,75,12254 kr/m²,3,1958,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 2 20",1418 København K,630000,11-11-1998,Alm Salg,64,9844 kr/m²,2,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 20, 1 th",1418 København K,272089,31-08-1997,Alm Salg,73,3727 kr/m²,3,1958,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 22, st 6",1418 København K,645775,28-04-1997,Alm Salg,64,10090 kr/m²,2,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 4 32",1418 København K,332955,27-01-1997,Alm Salg,38,8762 kr/m²,1,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 10, 1 th",1418 København K,1025000,03-03-1995,Alm Salg,115,8913 kr/m²,3,1977,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 24, 3 24",1418 København K,250000,23-02-1995,Alm Salg,38,6579 kr/m²,1,1975,0,Aktuel værdi
E,Ejerlejlighed,"Sofiegade 8, 2",1418 København K,444744,03-02-1993,Alm Salg,121,3676 kr/m²,2,1750,0,Aktuel værdi
